"_mkv_child",description,"rule_name_short","splunk_app","tactic_id","tactic_name",technique,"technique_id","technique_name"
0,"Triggered off of accounting information from firewall data (bytes in/out) to determine an unusually high volume of downloaded data per user from UBA defined internal servers.","Download from Internal Server","Splunk User Behavior Analytics",TA0009,Collection,"TA0009;Collection;Data from Network Shared Drive",T1039,"Data from Network Shared Drive"
0,"Triggered off of accounting information from firewall data (bytes in/out) to determine an unusually high volume of downloaded data per user from UBA defined internal servers.","Download from Internal Server","Splunk User Behavior Analytics",TA0009,Collection,"TA0009;Collection;Data from Information Repositories",T1213,"Data from Information Repositories"
0,"Triggered when there is more than expected data transfer for a user or device. This anomaly will often be included in a data exfiltration attempt.","Excessive Data Transmission","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Alternative Protocol",T1048,"Exfiltration Over Alternative Protocol"
0,"Triggered when there is more than expected data transfer for a user or device. This anomaly will often be included in a data exfiltration attempt.","Excessive Data Transmission","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Command and Control Channel",T1041,"Exfiltration Over Command and Control Channel"
0,"This anomaly detects malicious incoming traffic on websites (e.g., SQL injection).","External Website Attack","Splunk User Behavior Analytics",TA0001,"Initial Access","TA0001;Initial Access;Exploit Public-Facing Application",T1190,"Exploit Public-Facing Application"
0,"This anomaly detects malicious incoming traffic on websites (e.g., SQL injection).","External Website Attack","Splunk User Behavior Analytics",,,"",T1293,
0,"Trigged when acess to a badge panel (door or otherwise) is denied because the badge is disabled. Disabled doe not neceissarly mean terminated.","Failed Access by Disabled Badge","Splunk User Behavior Analytics",,,"",T1302,
0,"Trigged when acess to a badge panel (door or otherwise) is denied because the badge is disabled. Disabled doe not neceissarly mean terminated.","Failed Access by Disabled Badge","Splunk User Behavior Analytics",,,"",T1360,
0,"Triggered by users logging into VPN session from multiple locations within a short amount of time.","Land Speed Violation","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Triggered by users logging into VPN session from multiple locations within a short amount of time.","Land Speed Violation","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Triggered by users logging into VPN session from multiple locations within a short amount of time.","Land Speed Violation","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Triggered by users logging into VPN session from multiple locations within a short amount of time.","Land Speed Violation","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Triggered when an account is created on a workstation or endpoint. This is a local Windows account when the machine is joined to a domain.","Local Account Creation","Splunk User Behavior Analytics",TA0003,Persistence,"TA0003;Persistence;Create Account",T1136,"Create Account"
0,"Triggered by devices that have recurring machine generated traffic. Looking at both web and network traffic.","Machine Generated Beacon","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Custom Command and Control Protocol",T1094,"Custom Command and Control Protocol"
0,"Triggered by devices that have recurring machine generated traffic. Looking at both web and network traffic.","Machine Generated Beacon","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Standard Application Layer Protocol",T1071,"Standard Application Layer Protocol"
0,"Triggered by devices that have recurring machine generated traffic. Looking at both web and network traffic.","Machine Generated Beacon","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Standard Non-Application Layer Protocol",T1095,"Standard Non-Application Layer Protocol"
0,"This anomaly contains multiple detection methods that look at Windows Event Logs for malicious activity (e.g., clearning audit logs). Check associated detection methods for an exhastive list of what triggers this anomaly.","Malicious AD Activity","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"This anomaly contains multiple detection methods that look at Windows Event Logs for malicious activity (e.g., clearning audit logs). Check associated detection methods for an exhastive list of what triggers this anomaly.","Malicious AD Activity","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"This anomaly contains multiple detection methods that look at Windows Event Logs for malicious activity (e.g., clearning audit logs). Check associated detection methods for an exhastive list of what triggers this anomaly.","Malicious AD Activity","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"This anomaly contains multiple detection methods that look at Windows Event Logs for malicious activity (e.g., clearning audit logs). Check associated detection methods for an exhastive list of what triggers this anomaly.","Malicious AD Activity","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"This anomaly contains multiple detection methods that look at Windows Event Logs for malicious activity (e.g., clearning audit logs). Check associated detection methods for an exhastive list of what triggers this anomaly.","Malicious AD Activity","Splunk User Behavior Analytics",TA0008,"Lateral Movement","TA0008;Lateral Movement;Pass the Ticket",T1097,"Pass the Ticket"
0,"Triggered when a user fails authentication multiple times. This anomaly is only  triggered when the number of authentication failures exceeds the enterprise average.","Multiple Authentication Failures","Splunk User Behavior Analytics",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
0,"Triggered on outliers of number of successes and failures per user authenticating against services or machines.","Multiple Authentications","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Triggered on outliers of number of successes and failures per user authenticating against services or machines.","Multiple Authentications","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Triggered on outliers of number of successes and failures per user authenticating against services or machines.","Multiple Authentications","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Triggered on outliers of number of successes and failures per user authenticating against services or machines.","Multiple Authentications","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Triggered on outliers of number of successes and failures per user authenticating against services or machines.","Multiple Authentications","Splunk User Behavior Analytics",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
0,"Triggered by the total number of  Box logins per user per day based on historical baseline. These are successful logins only.","Multiple Box logins","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Triggered by the total number of  Box logins per user per day based on historical baseline. These are successful logins only.","Multiple Box logins","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Triggered by the total number of  Box logins per user per day based on historical baseline. These are successful logins only.","Multiple Box logins","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Triggered by the total number of  Box logins per user per day based on historical baseline. These are successful logins only.","Multiple Box logins","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Triggered by a high volume of box operations by user. The number of operations  is compared to the enterprise average.","Multiple Box operations","Splunk User Behavior Analytics",,,"",TA0009,
0,"Triggered when multiple users fail to badge in at a single badge-in access point. This could be used to detect both a physical brute force attack or faulty hardware.","Multiple Failed Badge Access Attempts","Splunk User Behavior Analytics",,,"",T1360,
0,"Triggered when multiple users fail to badge in at a single badge-in access point. This could be used to detect both a physical brute force attack or faulty hardware.","Multiple Failed Badge Access Attempts","Splunk User Behavior Analytics",,,"",T1302,
0,"Triggered when the number of successful logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including lateral movement, account takeover, or just general suspicious behavior.","Multiple Logins","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Triggered when the number of successful logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including lateral movement, account takeover, or just general suspicious behavior.","Multiple Logins","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Triggered when the number of successful logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including lateral movement, account takeover, or just general suspicious behavior.","Multiple Logins","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Triggered when the number of successful logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including lateral movement, account takeover, or just general suspicious behavior.","Multiple Logins","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Triggered when the number of successful logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including lateral movement, account takeover, or just general suspicious behavior.","Multiple Logins","Splunk User Behavior Analytics","TA0002
TA0008","Execution
Lateral Movement","TA0002;Execution;Windows Remote Management",T1028,"Windows Remote Management
Windows Remote Management"
1,"Triggered when the number of successful logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including lateral movement, account takeover, or just general suspicious behavior.","Multiple Logins","Splunk User Behavior Analytics","TA0002
TA0008","Execution
Lateral Movement","TA0008;Lateral Movement;Windows Remote Management",T1028,"Windows Remote Management
Windows Remote Management"
0,"Triggered when there is more than expected traffic destined for a single device. Most typically this anomaly is seen with DDOS behavior or something similar.","Network Protocol Violation","Splunk User Behavior Analytics",TA0040,Impact,"TA0040;Impact;Endpoint Denial of Service",T1499,"Endpoint Denial of Service"
0,"Triggered when Windows events occur outside of the normal baseline for a user. ","Period with Unusual Windows Security Event Sequences","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Triggered when Windows events occur outside of the normal baseline for a user. ","Period with Unusual Windows Security Event Sequences","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Triggered when Windows events occur outside of the normal baseline for a user. ","Period with Unusual Windows Security Event Sequences","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Triggered when Windows events occur outside of the normal baseline for a user. ","Period with Unusual Windows Security Event Sequences","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Triggered by external email monitoring tools when a specific user or group is a possible target of a spear phishing campaign.","Possible Phishing Attempt","Splunk User Behavior Analytics",TA0001,"Initial Access","TA0001;Initial Access;Spearphishing Attachment",T1193,"Spearphishing Attachment"
0,"Triggered by external email monitoring tools when a specific user or group is a possible target of a spear phishing campaign.","Possible Phishing Attempt","Splunk User Behavior Analytics",TA0001,"Initial Access","TA0001;Initial Access;Spearphishing Link",T1192,"Spearphishing Link"
0,"Triggered when an internal webserver is accessed from an outside source.","Potential Webshell Activity","Splunk User Behavior Analytics","TA0003
TA0004","Persistence
Privilege Escalation","TA0003;Persistence;Web Shell",T1100,"Web Shell
Web Shell"
1,"Triggered when an internal webserver is accessed from an outside source.","Potential Webshell Activity","Splunk User Behavior Analytics","TA0003
TA0004","Persistence
Privilege Escalation","TA0004;Privilege Escalation;Web Shell",T1100,"Web Shell
Web Shell"
0,"Triggers when a device exhibits either horizontal/vertical scanning patterns or appears to be sending data to a large number of ports per destination device.","Scanning Activity","Splunk User Behavior Analytics",TA0007,Discovery,"TA0007;Discovery;Network Service Scanning",T1046,"Network Service Scanning"
0,"This anomaly contains multiple detection methods that look at account events for suspcious activity (e.g., activity by an expired user). Check the associated detection methods for an exhaustive list of what triggers this anomaly.","Suspicious Account Activity","Splunk User Behavior Analytics",TA0003,Persistence,"TA0003;Persistence;Create Account",T1136,"Create Account"
0,"This anomaly contains multiple detection methods that look at account events for suspcious activity (e.g., activity by an expired user). Check the associated detection methods for an exhaustive list of what triggers this anomaly.","Suspicious Account Activity","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"This anomaly contains multiple detection methods that look at account events for suspcious activity (e.g., activity by an expired user). Check the associated detection methods for an exhaustive list of what triggers this anomaly.","Suspicious Account Activity","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"This anomaly contains multiple detection methods that look at account events for suspcious activity (e.g., activity by an expired user). Check the associated detection methods for an exhaustive list of what triggers this anomaly.","Suspicious Account Activity","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"This anomaly contains multiple detection methods that look at account events for suspcious activity (e.g., activity by an expired user). Check the associated detection methods for an exhaustive list of what triggers this anomaly.","Suspicious Account Activity","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Triggered when an account lockout occurs without any corresponding cause (e.g., password change, password reset, etc.) ","Suspicious Account Lockout","Splunk User Behavior Analytics",TA0006,"Credential Access","TA0006;Credential Access;Brute Force",T1110,"Brute Force"
0,"This anomaly contains a number of detection methods surrounding box usage and malicious intent (e.g., file relay through box). Check the associated detection methods for a comprehensive list of what triggers this anomaly.","Suspicious Box Usage","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Other Network Medium",T1011,"Exfiltration Over Other Network Medium"
0,"This anomaly contains a number of detection methods surrounding box usage and malicious intent (e.g., file relay through box). Check the associated detection methods for a comprehensive list of what triggers this anomaly.","Suspicious Box Usage","Splunk User Behavior Analytics","TA0005
TA0011","Defense Evasion
Command and Control","TA0005;Defense Evasion;Web Service",T1102,"Web Service
Web Service"
1,"This anomaly contains a number of detection methods surrounding box usage and malicious intent (e.g., file relay through box). Check the associated detection methods for a comprehensive list of what triggers this anomaly.","Suspicious Box Usage","Splunk User Behavior Analytics","TA0005
TA0011","Defense Evasion
Command and Control","TA0011;Command and Control;Web Service",T1102,"Web Service
Web Service"
0,"This anomaly contains a number of detection methods surrounding box usage and malicious intent (e.g., file relay through box). Check the associated detection methods for a comprehensive list of what triggers this anomaly.","Suspicious Box Usage","Splunk User Behavior Analytics",,,"",TA0010,
0,"This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement","Splunk User Behavior Analytics",TA0009,Collection,"TA0009;Collection;Data from Information Repositories",T1213,"Data from Information Repositories"
0,"This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement","Splunk User Behavior Analytics",TA0009,Collection,"TA0009;Collection;Data from Network Shared Drive",T1039,"Data from Network Shared Drive"
0,"This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Command and Control Channel",T1041,"Exfiltration Over Command and Control Channel"
0,"This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Alternative Protocol",T1048,"Exfiltration Over Alternative Protocol"
0,"This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement","Splunk User Behavior Analytics",,,"",TA0010,
0,"This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Other Network Medium",T1011,"Exfiltration Over Other Network Medium"
0,"This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement","Splunk User Behavior Analytics",,,"",TA0009,
0,"Triggered when a user visits a malicious or suspicious site. This classification is determined by NGFW categories.","Suspicious Domain Communication","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Custom Command and Control Protocol",T1094,"Custom Command and Control Protocol"
0,"Triggered when a user visits a malicious or suspicious site. This classification is determined by NGFW categories.","Suspicious Domain Communication","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Standard Application Layer Protocol",T1071,"Standard Application Layer Protocol"
0,"Triggered when a user visits a malicious or suspicious site. This classification is determined by NGFW categories.","Suspicious Domain Communication","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Standard Non-Application Layer Protocol",T1095,"Standard Non-Application Layer Protocol"
0,"Triggered when a user visits a suspicious domain name that appears to be algorithmically generated. ","Suspicious Domain Name","Splunk User Behavior Analytics",,,"",T1323,
0,"Triggered when a user visits a suspicious domain name that appears to be algorithmically generated. ","Suspicious Domain Name","Splunk User Behavior Analytics",TA0001,"Initial Access","TA0001;Initial Access;Spearphishing Link",T1192,"Spearphishing Link"
0,"Triggered when a user visits a suspicious domain name that appears to be algorithmically generated. ","Suspicious Domain Name","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Commonly Used Port",T1043,"Commonly Used Port"
0,"Triggered when a user visits a suspicious domain name that appears to be algorithmically generated. ","Suspicious Domain Name","Splunk User Behavior Analytics",TA0011,"Command and Control","TA0011;Command and Control;Standard Application Layer Protocol",T1071,"Standard Application Layer Protocol"
0,"Triggered by detecting sequences in HTTP requests that signify a possible exploit.","Suspicious HTTP Redirects","Splunk User Behavior Analytics",TA0001,"Initial Access","TA0001;Initial Access;Drive-by Compromise",T1189,"Drive-by Compromise"
0,"This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection","Splunk User Behavior Analytics",TA0008,"Lateral Movement","TA0008;Lateral Movement;Remote Services",T1021,"Remote Services"
0,"This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection","Splunk User Behavior Analytics","TA0008
TA0011","Lateral Movement
Command and Control","TA0008;Lateral Movement;Remote File Copy",T1105,"Remote File Copy
Remote File Copy"
1,"This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection","Splunk User Behavior Analytics","TA0008
TA0011","Lateral Movement
Command and Control","TA0011;Command and Control;Remote File Copy",T1105,"Remote File Copy
Remote File Copy"
0,"This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Command and Control Channel",T1041,"Exfiltration Over Command and Control Channel"
0,"This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Other Network Medium",T1011,"Exfiltration Over Other Network Medium"
0,"This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection","Splunk User Behavior Analytics",TA0010,Exfiltration,"TA0010;Exfiltration;Exfiltration Over Alternative Protocol",T1048,"Exfiltration Over Alternative Protocol"
0,"Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.","Suspicious Network Exploration","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0001;Initial Access;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
1,"Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.","Suspicious Network Exploration","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0003;Persistence;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
2,"Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.","Suspicious Network Exploration","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0004;Privilege Escalation;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
3,"Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.","Suspicious Network Exploration","Splunk User Behavior Analytics","TA0001
TA0003
TA0004
TA0005","Initial Access
Persistence
Privilege Escalation
Defense Evasion","TA0005;Defense Evasion;Valid Accounts",T1078,"Valid Accounts
Valid Accounts
Valid Accounts
Valid Accounts"
0,"Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.","Suspicious Network Exploration","Splunk User Behavior Analytics",,,"",TA0008,
0,"Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.","Suspicious Network Exploration","Splunk User Behavior Analytics",TA0008,"Lateral Movement","TA0008;Lateral Movement;Remote Services",T1021,"Remote Services"
