"splunk_app",description,"rule_name_short","technique_id"
"Splunk User Behavior Analytics","Triggered when there is more than expected traffic destined for a single device. Most typically this anomaly is seen with DDOS behavior or something similar.","Network Protocol Violation",T1499
"Splunk User Behavior Analytics","Triggered when Windows events occur outside of the normal baseline for a user. ","Period with Unusual Windows Security Event Sequences",T1078
"Splunk User Behavior Analytics","Triggered by external email monitoring tools when a specific user or group is a possible target of a spear phishing campaign.","Possible Phishing Attempt",T1193
"Splunk User Behavior Analytics","Triggered by external email monitoring tools when a specific user or group is a possible target of a spear phishing campaign.","Possible Phishing Attempt",T1192
"Splunk User Behavior Analytics","Triggered when an internal webserver is accessed from an outside source.","Potential Webshell Activity",T1100
"Splunk User Behavior Analytics","Triggers when a device exhibits either horizontal/vertical scanning patterns or appears to be sending data to a large number of ports per destination device.","Scanning Activity",T1046
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods that look at account events for suspcious activity (e.g., activity by an expired user). Check the associated detection methods for an exhaustive list of what triggers this anomaly.","Suspicious Account Activity",T1136
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods that look at account events for suspcious activity (e.g., activity by an expired user). Check the associated detection methods for an exhaustive list of what triggers this anomaly.","Suspicious Account Activity",T1078
"Splunk User Behavior Analytics","Triggered when an account lockout occurs without any corresponding cause (e.g., password change, password reset, etc.) ","Suspicious Account Lockout",T1110
"Splunk User Behavior Analytics","This anomaly contains a number of detection methods surrounding box usage and malicious intent (e.g., file relay through box). Check the associated detection methods for a comprehensive list of what triggers this anomaly.","Suspicious Box Usage",T1011
"Splunk User Behavior Analytics","This anomaly contains a number of detection methods surrounding box usage and malicious intent (e.g., file relay through box). Check the associated detection methods for a comprehensive list of what triggers this anomaly.","Suspicious Box Usage",T1102
"Splunk User Behavior Analytics","This anomaly contains a number of detection methods surrounding box usage and malicious intent (e.g., file relay through box). Check the associated detection methods for a comprehensive list of what triggers this anomaly.","Suspicious Box Usage",TA0010
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement",T1213
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement",T1039
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement",T1041
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement",T1048
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement",TA0010
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement",T1011
"Splunk User Behavior Analytics","This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Suspicious Data Movement",TA0009
"Splunk User Behavior Analytics","Triggered when a user visits a malicious or suspicious site. This classification is determined by NGFW categories.","Suspicious Domain Communication",T1094
"Splunk User Behavior Analytics","Triggered when a user visits a malicious or suspicious site. This classification is determined by NGFW categories.","Suspicious Domain Communication",T1071
"Splunk User Behavior Analytics","Triggered when a user visits a malicious or suspicious site. This classification is determined by NGFW categories.","Suspicious Domain Communication",T1095
"Splunk User Behavior Analytics","Triggered when a user visits a suspicious domain name that appears to be algorithmically generated. ","Suspicious Domain Name",T1323
"Splunk User Behavior Analytics","Triggered when a user visits a suspicious domain name that appears to be algorithmically generated. ","Suspicious Domain Name",T1192
"Splunk User Behavior Analytics","Triggered when a user visits a suspicious domain name that appears to be algorithmically generated. ","Suspicious Domain Name",T1043
"Splunk User Behavior Analytics","Triggered when a user visits a suspicious domain name that appears to be algorithmically generated. ","Suspicious Domain Name",T1071
"Splunk User Behavior Analytics","Triggered by detecting sequences in HTTP requests that signify a possible exploit.","Suspicious HTTP Redirects",T1189
"Splunk User Behavior Analytics","This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection",T1021
"Splunk User Behavior Analytics","This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection",T1105
"Splunk User Behavior Analytics","This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection",T1041
"Splunk User Behavior Analytics","This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection",T1011
"Splunk User Behavior Analytics","This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.","Suspicious Network Connection",T1048
"Splunk User Behavior Analytics","Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.","Suspicious Network Exploration",T1078
"Splunk User Behavior Analytics","Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.","Suspicious Network Exploration",TA0008
"Splunk User Behavior Analytics","Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.","Suspicious Network Exploration",T1021
"Splunk User Behavior Analytics","Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.","Suspicious Network Exploration",T1105
"Splunk User Behavior Analytics","Triggered when a user accesses a box resource for the first time. This anomaly is based on an individual user's baseline. ","Suspicious New Access",T1011
"Splunk User Behavior Analytics","Triggered when a possible malicious powershell command is executed. This anomaly contains detection methods that inspect endpoint and Windows event logs looking for suspicious commands (e.g., base64 encoded powershell commands).","Suspicious Powershell Activity",T1086
"Splunk User Behavior Analytics","Triggered when an account with administrator privledges logs in (event code 4672) and is associated with another user logging in within the same time period.","Suspicious Privilege Escalation",T1086
"Splunk User Behavior Analytics","Triggered when an account with administrator privledges logs in (event code 4672) and is associated with another user logging in within the same time period.","Suspicious Privilege Escalation",T1078
"Splunk User Behavior Analytics","Triggered when a user has an abnormal login time of day or day of week. This is based on the user's rolling baseline.","Unusual Activity Time",T1078
"Splunk User Behavior Analytics","Triggered when a badge attempts to access a badge reader that it has historically not accessed. This is based on location and the badge (or user) baseline history.","Unusual Badge Reader Access",T1360
"Splunk User Behavior Analytics","Triggered on a large number of deletes from a cloud file storage system. This anomaly looks at the enterprise average for a historical baseline.","Unusual Cloud Storage Deletions",T1485
"Splunk User Behavior Analytics","Triggered on a large number of file/directory downloads from a cloud file storage system. This is specifically the number of downloads not the size of the downloads. This anomaly looks at the enterprise afverage for a historical baseline.","Unusual Cloud Storage Downloads",T1011
"Splunk User Behavior Analytics","Triggered when a user accesses a new file type or extension. This is based on a user's previous history and/or peer group activity.","Unusual File Extension",T1486
"Splunk User Behavior Analytics","Triggered when a user accesses a new file type or extension. This is based on a user's previous history and/or peer group activity.","Unusual File Extension",T1193
"Splunk User Behavior Analytics","Triggered when an organziation, user, device, or peer group generates network traffic destined for a rare or unique Country destination. This anomaly requires destinationCountry (or similar) to be populated.","Unusual Geolocation of Communication Destination",T1071
"Splunk User Behavior Analytics","Triggered when an organziation, user, device, or peer group generates network traffic destined for a rare or unique Country destination. This anomaly requires destinationCountry (or similar) to be populated.","Unusual Geolocation of Communication Destination",T1095
"Splunk User Behavior Analytics","Triggered when an organziation, user, device, or peer group generates network traffic destined for a rare or unique Country destination. This anomaly requires destinationCountry (or similar) to be populated.","Unusual Geolocation of Communication Destination",T1094
"Splunk User Behavior Analytics","Triggered when an organziation, user, device, or peer group generates network traffic destined for a rare or unique Country destination. This anomaly requires destinationCountry (or similar) to be populated.","Unusual Geolocation of Communication Destination",T1048
"Splunk User Behavior Analytics","Triggered when an organziation, user, device, or peer group generates network traffic destined for a rare or unique Country destination. This anomaly requires destinationCountry (or similar) to be populated.","Unusual Geolocation of Communication Destination",T1041
"Splunk User Behavior Analytics","This anomaly contains a large number of detections for rare or unusual machine access.","Unusual Machine Access",T1078
"Splunk User Behavior Analytics","This anomaly contains a large number of detections for rare or unusual network interaction.","Unusual Network Activity",T1024
"Splunk User Behavior Analytics","This anomaly contains a large number of detections for rare or unusual network interaction.","Unusual Network Activity",T1094
"Splunk User Behavior Analytics","This anomaly contains a large number of detections for rare or unusual network interaction.","Unusual Network Activity",T1065
"Splunk User Behavior Analytics","This anomaly looks at different aspects of print jobs from a peer group or user baseline, as well as looking at the extensions of the files that are printed.","Unusual Printer Usage",T1052
"Splunk User Behavior Analytics","Triggered by badge access that is outside the normal user's baseline. This can be either failed or successful badge-in attempts outside of the normal baseline.","Unusual Time of Badge Access",T1360
"Splunk User Behavior Analytics","This anomaly contains a number of detection methods surrounding USB usage in the enterprise.","Unusual USB Activity",T1052
"Splunk User Behavior Analytics","This anomaly contains a number of detection methods surrounding USB usage in the enterprise.","Unusual USB Activity",T1091
"Splunk User Behavior Analytics","This anomaly contains a number of detection methods surrounding USB usage in the enterprise.","Unusual USB Activity",T1200
"Splunk User Behavior Analytics","Triggered when a user uses a USB device (plugging into a computer) for the first time. This anomaly is based on the user's historical information.","Unusual USB Device Plugged In",T1091
"Splunk User Behavior Analytics","Triggered when a user uses a USB device (plugging into a computer) for the first time. This anomaly is based on the user's historical information.","Unusual USB Device Plugged In",T1052
"Splunk User Behavior Analytics","Triggered when traffic is destined from a rare sourceCountry for an organziation, user, device, or peer group. This anomaly requires sourceCountry (or similar) to be populated.","Unusual VPN Login Geolocation",T1078
"Splunk User Behavior Analytics","Triggered when either a user or device exhibits a rare browser user agent string (e.g., iexplorer.exe instead of iexplore.exe).","Unusual Web Browser",T1071
"Splunk User Behavior Analytics","Triggered when either a user or device exhibits a rare browser user agent string (e.g., iexplorer.exe instead of iexplore.exe).","Unusual Web Browser",T1041
"Splunk User Behavior Analytics","Triggered when either a user or device exhibits a rare browser user agent string (e.g., iexplorer.exe instead of iexplore.exe).","Unusual Web Browser",T1043
"Splunk User Behavior Analytics","This is a catch all anomaly for unusal Windows Security Events. This can contain things like: rare process, rare resource, or even a rare process name for a given process. This anomaly is based on user baseline and enterprise baseline.","Unusual Windows Security Event (Unusual - Event Code, Process, Directory, LoginType, ReturnCode, Domain)",TA0002
"Splunk User Behavior Analytics","Triggered when a VPN session extends past the normal time period. This time period is determined by both the user's individual baseline as well as the enterprise average.","Unusually Long VPN Session",T1048
"Splunk User Behavior Analytics","Triggered when a VPN session extends past the normal time period. This time period is determined by both the user's individual baseline as well as the enterprise average.","Unusually Long VPN Session",T1108
"Splunk User Behavior Analytics","Triggered when the number of physical USB attach and detach actions exceed the idividual's historical baseline.","USB storage attached an unusually high number of times",T1052
"Splunk User Behavior Analytics","Triggered when an excessive amount of data is uploaded or stored onto an internal server or cloud storage system. This anomaly is often a pre-cursor to a flight risk threat or data exfiltration threat. ","Data Staging",T1011
"Splunk User Behavior Analytics","Triggered when an excessive amount of data is uploaded or stored onto an internal server or cloud storage system. This anomaly is often a pre-cursor to a flight risk threat or data exfiltration threat. ","Data Staging",T1048
"Splunk User Behavior Analytics","Triggered when the number of failed logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including a brute force attack, password spraying, or just general suspicious behavior.","Multiple Login Errors",T1078
"Splunk User Behavior Analytics","Triggered when the number of failed logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including a brute force attack, password spraying, or just general suspicious behavior.","Multiple Login Errors",T1110
"Splunk User Behavior Analytics","Triggered when a user visits a malicious or suspicious site by IP directly.","Suspicious IP Address Communication",T1094
"Splunk User Behavior Analytics","Triggered when a user visits a malicious or suspicious site by IP directly.","Suspicious IP Address Communication",T1071
"Splunk User Behavior Analytics","Triggered when a user visits a malicious or suspicious site by IP directly.","Suspicious IP Address Communication",T1095
"Splunk User Behavior Analytics","This is a subset of the Unusual Printer Usage anomaly that looks only at number of print jobs, increased number of print jobs, or volume of data printed. It's based on individual user baseline as well as the enterprise average.","Excessive Data Printed",T1052
"Splunk User Behavior Analytics","This is a subset of the Excessive Data Transmission anomaly that looks only at volume of downloaded data while on VPN.","Excessive Downloads via VPN",T1011
"Splunk User Behavior Analytics","Triggered when the number of outgoing connections is greater than the user's historical baseline or the enterprise average.","Multiple Outgoing Connections",T1041
"Splunk User Behavior Analytics","Triggered when the number of outgoing connections is greater than the user's historical baseline or the enterprise average.","Multiple Outgoing Connections",T1048
"Splunk User Behavior Analytics","Triggered when the number of outgoing connections is greater than the user's historical baseline or the enterprise average.","Multiple Outgoing Connections",T1094
"Splunk User Behavior Analytics","Triggered when the number of outgoing connections is greater than the user's historical baseline or the enterprise average.","Multiple Outgoing Connections",T1095
"Splunk User Behavior Analytics","Triggered when the number of outgoing connections is greater than the user's historical baseline or the enterprise average.","Multiple Outgoing Connections",T1032
"Splunk User Behavior Analytics","Triggered when the number of outgoing connections is greater than the user's historical baseline or the enterprise average.","Multiple Outgoing Connections",T1104
"Splunk User Behavior Analytics","Triggered when a service account either logs in via VPN or interactively on a device. Does not trigger for normal service account activity.","Service Account Login",T1078
"Splunk Security Essentials","Builds a per-user baseline for how many API calls is normal, and then alerts for deviations.","Cloud APIs Called More Often Than Usual Per User",T1260
"Splunk Security Essentials","Looks for IaaS Provisioning activities that occur from new IPs, using GeoIP to resolve the Country.","Cloud Provisioning Activity from Unusual Country",T1078
"Splunk Security Essentials","Looks for Cloud Provisioning activities that occur from new IPs (for organizations with strict IP controls).","Cloud Provisioning Activity from Unusual IP",T1078
"Splunk Security Essentials","Detects the first time a user creates a new instance.","Instance Created by Unusual User",T1078
"Splunk Security Essentials","Detects the first time a user modifies an existing instance.","Instance Modified by Unusual User",T1078
"Splunk Security Essentials","Looks for users that are using APIs that neither they, nor their team has ever used before.","New Cloud API Call Per Peer Group",T1078
"Splunk Security Essentials","Looks for users that are using IaaS APIs that they've never used before.","New IaaS API Call Per User",T1260
"Splunk Security Essentials","Looks for a large number of Security Group ACL changes in a short period of time for a user.","Unusual Number of Modifications to Cloud ACLs",T1078
"Splunk Security Essentials","You shouldn't see any successful authentication activity on the accounts of former employees. Track this easily in Splunk.","Successful Login of Account for Former Employee",T1078
"Splunk Security Essentials","You shouldn't see any successful authentication activity on the accounts of former employees. Track this easily in Splunk.","Successful Login of Account for Former Employee",T1098
"Splunk Security Essentials","Looks for the same malware occurring on multiple systems in a short period of time.","Basic Malware Outbreak",T1189
"Splunk Security Essentials","Looks for the same malware occurring on multiple systems in a short period of time.","Basic Malware Outbreak",T1193
"Splunk Security Essentials","Looks for the same malware occurring on multiple systems in a short period of time.","Basic Malware Outbreak",T1192
"Splunk Security Essentials","Looks for the same malware occurring on multiple systems in a short period of time.","Basic Malware Outbreak",T1204
"Splunk Security Essentials","Looks for the same malware occurring on multiple systems in a short period of time.","Basic Malware Outbreak",T1068
"Splunk Security Essentials","Looks for hosts that reach out to more than 500 hosts, or more than 500 ports in a short period of time, indicating scanning.","Basic Scanning",T1046
"Splunk Security Essentials","Looks for hosts that reach out to more than 500 hosts, or more than 500 ports in a short period of time, indicating scanning.","Basic Scanning",T1018
"Splunk Security Essentials","Uses a basic threshold to detect a large web upload, which could be exfiltration from malware or a malicious insider.","Large Web Upload",T1041
"Splunk Security Essentials","Uses a basic threshold to detect a large web upload, which could be exfiltration from malware or a malicious insider.","Large Web Upload",T1048
"Splunk Security Essentials","Finds hosts that have logged multiple different infections in a short period of time.","Multiple Infections on Host",T1189
"Splunk Security Essentials","Finds hosts that have logged multiple different infections in a short period of time.","Multiple Infections on Host",T1193
"Splunk Security Essentials","Finds hosts that have logged multiple different infections in a short period of time.","Multiple Infections on Host",T1192
"Splunk Security Essentials","Finds hosts that have logged multiple different infections in a short period of time.","Multiple Infections on Host",T1204
"Splunk Security Essentials","Detects when users browse to domains never before seen in your organization.","Connection to New Domain",T1041
"Splunk Security Essentials","Detects when users browse to domains never before seen in your organization.","Connection to New Domain",T1048
"Splunk Security Essentials","Detects when users browse to domains never before seen in your organization.","Connection to New Domain",T1071
"Splunk Security Essentials","Looks for the same malware occurring multiple times on the same host.","Recurring Infection on Host",T1189
"Splunk Security Essentials","Looks for the same malware occurring multiple times on the same host.","Recurring Infection on Host",T1192
"Splunk Security Essentials","Looks for the same malware occurring multiple times on the same host.","Recurring Infection on Host",T1193
"Splunk Security Essentials","Looks for the same malware occurring multiple times on the same host.","Recurring Infection on Host",T1204
"Splunk Security Essentials","Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall",T1041
"Splunk Security Essentials","Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall",T1048
"Splunk Security Essentials","Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall",T1094
"Splunk Security Essentials","Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall",T1032
"Splunk Security Essentials","Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall",T1095
"Splunk Security Essentials","Any communication through the firewall not explicitly granted by policy could indicate either a misconfiguration or even malicious actions, putting your security and compliance at risk.","Unauthorized Connection Through Firewall",T1046
"Splunk Security Essentials","Detect a system with a malware detection that was not properly cleaned, as they carry a high risk of damage or disclosure of data.","Endpoint Uncleaned Malware Detection",T1204
"Splunk Security Essentials","Detect a system with a malware detection that was not properly cleaned, as they carry a high risk of damage or disclosure of data.","Endpoint Uncleaned Malware Detection",T1189
"Splunk Security Essentials","Detect a system with a malware detection that was not properly cleaned, as they carry a high risk of damage or disclosure of data.","Endpoint Uncleaned Malware Detection",T1193
"Splunk Security Essentials","Detect a system with a malware detection that was not properly cleaned, as they carry a high risk of damage or disclosure of data.","Endpoint Uncleaned Malware Detection",T1192
"Splunk Security Essentials","The GDPR requires that only authorized individuals access personal data. Alert when the account of a past employee is used to log into GDPR-tagged systems","Activity from Expired User Identity - on Category",T1078
"Splunk Security Essentials","Monitor your security controls and prove your GDPR compliance by detecting brute force (or password guessing) attacks on GDPR-tagged systems.","Brute Force Access Behavior Detected - Against Category",T1110
"Splunk Security Essentials","Monitor your security controls and prove your GDPR compliance by detecting brute force (or password guessing) attacks on GDPR-tagged systems.","Brute Force Access Behavior Detected - Against Category",T1078
"Splunk Security Essentials","Monitor your security controls and prove your GDPR compliance by detecting slow and low brute force (or password guessing) attacks on GDPR-tagged systems that occur gradually over the day.","Brute Force Access Behavior Detected Over One Day - Against Category",T1110
"Splunk Security Essentials","Monitor your security controls and prove your GDPR compliance by detecting slow and low brute force (or password guessing) attacks on GDPR-tagged systems that occur gradually over the day.","Brute Force Access Behavior Detected Over One Day - Against Category",T1078
"Splunk Security Essentials","To ensure you have a GDPR-mandated audit trail with individual accounts for each person, detect when the same account is logged into twice in a short period of time but from locations very far away, to a GDPR-tagged system.","Geographically Improbable Access Detected against Category",T1078
"Splunk Security Essentials","Any GDPR-tagged systems not receiving updates could jeopardize your GDPR status due to Article 32. Detect systems where the Windows Update service is disabled.","In-Scope System with Windows Update Disabled",T1089
"Splunk Security Essentials","Looks for activity in IaaS Regions that have not been used before across the organization.","Unusual Cloud Regions",T1078
"Splunk Security Essentials","Splunk can detect the status of services, allowing us to find hosts where the Windows Update service is disabled.","Disabled Update Service",T1089
"Splunk App for Enterprise Security","Detects an abnormally high number of endpoint changes by user account, as they relate to restarts, audits, filesystem, user, and registry modifications.","Abnormally High Number of Endpoint Changes By User",T1031
"Splunk App for Enterprise Security","Detects an abnormally high number of endpoint changes by user account, as they relate to restarts, audits, filesystem, user, and registry modifications.","Abnormally High Number of Endpoint Changes By User",T1112
"Splunk App for Enterprise Security","Detects an abnormally high number of endpoint changes by user account, as they relate to restarts, audits, filesystem, user, and registry modifications.","Abnormally High Number of Endpoint Changes By User",T1222
"Splunk App for Enterprise Security","Alerts when a host has an abnormally high number of HTTP requests by http method.","Abnormally High Number of HTTP Method Events By Src",T1190
"Splunk App for Enterprise Security","Alerts when a host has an abnormally high number of HTTP requests by http method.","Abnormally High Number of HTTP Method Events By Src",T1110
"Splunk App for Enterprise Security","Detects user and computer account deletion","Account Deleted",T1070
"Splunk App for Enterprise Security","Alerts when an event is discovered from a user associated with identity that is now expired (that is, the end date of the identity has been passed).","Activity from Expired User Identity",T1078
"Splunk Security Essentials","Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.","Aggregate Risky Events",T1078
"Splunk Security Essentials","Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.","Aggregate Risky Events",T1076
"Splunk Security Essentials","Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.","Aggregate Risky Events",T1028
"Splunk App for Enterprise Security","Discovers anomalous activity such as the deletion of or clearing of log files. Attackers oftentimes clear the log files in order to hide their actions, therefore, this may indicate that the system has been compromised.","Anomalous Audit Trail Activity Detected",T1070
"Splunk App for Enterprise Security","Discovers anomalous activity such as the deletion of or clearing of log files. Attackers oftentimes clear the log files in order to hide their actions, therefore, this may indicate that the system has been compromised.","Anomalous Audit Trail Activity Detected",T1146
"Splunk App for Enterprise Security","Discovers anomalous activity such as the deletion of or clearing of log files. Attackers oftentimes clear the log files in order to hide their actions, therefore, this may indicate that the system has been compromised.","Anomalous Audit Trail Activity Detected",T1107
"Splunk App for Enterprise Security","Alerts a series of hosts begin listening on a new port within 24 hours. This may be an indication that the devices have been compromised or have had new (and potentially vulnerable) software installed.","Anomalous New Listening Port",T1065
"Splunk App for Enterprise Security","Alerts a series of hosts begin listening on a new port within 24 hours. This may be an indication that the devices have been compromised or have had new (and potentially vulnerable) software installed.","Anomalous New Listening Port",T1043
"Splunk App for Enterprise Security","Alerts when an anomalous number hosts are detected with a new process.","Anomalous New Process",T1035
"Splunk App for Enterprise Security","Alerts when an anomalous number hosts are detected with a new process.","Anomalous New Process",TA0002
"Splunk App for Enterprise Security","Alerts when an anomalous number hosts are detected with a new service.","Anomalous New Service",T1050
